~iteration~,lr
0,0.0001
50,0.0001
100,0.0001
141,0.0001
191,0.0001
241,0.0001
282,0.0001
332,0.0001
382,0.0001
423,0.0001
473,0.0001
523,0.0001
564,0.0001
614,0.0001
664,0.0001
705,0.0001
755,0.0001
805,0.0001
846,0.0001
896,0.0001
946,0.0001
987,0.0001
1037,0.0001
1087,0.0001
1128,0.0001
1178,0.0001
1228,0.0001
1269,0.0001
1319,0.0001
1369,0.0001
1410,0.0001
1460,0.0001
1510,0.0001
1551,0.0001
1601,0.0001
1651,0.0001
1692,0.0001
1742,0.0001
1792,0.0001
1833,0.0001
1883,0.0001
1933,0.0001
1974,0.0001
2024,0.0001
2074,0.0001
2115,0.0001
2165,0.0001
2215,0.0001
2256,0.0001
2306,0.0001
2356,0.0001
2397,0.0001
2447,0.0001
2497,0.0001
2538,0.0001
2588,0.0001
2638,0.0001
2679,0.0001
2729,0.0001
2779,0.0001
2820,0.0001
2870,0.0001
2920,0.0001
2961,0.0001
3011,0.0001
3061,0.0001
3102,0.0001
3152,0.0001
3202,0.0001
3243,0.0001
3293,0.0001
3343,0.0001
3384,0.0001
3434,0.0001
3484,0.0001
3525,0.0001
3575,0.0001
3625,0.0001
3666,0.0001
3716,0.0001
3766,0.0001
3807,0.0001
3857,0.0001
3907,0.0001
3948,0.0001
3998,0.0001
4048,0.0001
4089,0.0001
4139,0.0001
4189,0.0001
4230,0.0001
4280,0.0001
4330,0.0001
4371,0.0001
4421,0.0001
4471,0.0001
4512,0.0001
4562,0.0001
4612,0.0001
4653,0.0001
4703,0.0001
4753,0.0001
4794,0.0001
4844,0.0001
4894,0.0001
4935,0.0001
4985,0.0001
5035,0.0001
5076,0.0001
5126,0.0001
5176,0.0001
5217,0.0001
5267,0.0001
5317,0.0001
5358,0.0001
5408,0.0001
5458,0.0001
5499,0.0001
5549,0.0001
5599,0.0001
5640,0.0001
5690,0.0001
5740,0.0001
5781,0.0001
5831,0.0001
5881,0.0001
5922,0.0001
5972,0.0001
6022,0.0001
6063,0.0001
6113,0.0001
6163,0.0001
6204,0.0001
6254,0.0001
6304,0.0001
6345,0.0001
6395,0.0001
6445,0.0001
6486,0.0001
6536,0.0001
6586,0.0001
6627,0.0001
6677,0.0001
6727,0.0001
6768,0.0001
6818,0.0001
6868,0.0001
6909,0.0001
6959,0.0001
7009,0.0001
7050,0.0001
7100,0.0001
7150,0.0001
7191,0.0001
7241,0.0001
7291,0.0001
7332,0.0001
7382,0.0001
7432,0.0001
7473,0.0001
7523,0.0001
7573,0.0001
7614,0.0001
7664,0.0001
7714,0.0001
7755,0.0001
7805,0.0001
7855,0.0001
7896,0.0001
7946,0.0001
7996,0.0001
8037,0.0001
8087,0.0001
8137,0.0001
8178,0.0001
8228,0.0001
8278,0.0001
8319,0.0001
8369,0.0001
8419,0.0001
8460,0.0001
8510,0.0001
8560,0.0001
8601,0.0001
8651,0.0001
8701,0.0001
8742,0.0001
8792,0.0001
8842,0.0001
8883,0.0001
8933,0.0001
8983,0.0001
9024,0.0001
9074,0.0001
9124,0.0001
9165,0.0001
9215,0.0001
9265,0.0001
9306,0.0001
9356,0.0001
9406,0.0001
9447,0.0001
9497,0.0001
9547,0.0001
9588,0.0001
9638,0.0001
9688,0.0001
9729,0.0001
9779,0.0001
9829,0.0001
9870,0.0001
9920,0.0001
9970,0.0001
10011,0.0001
10061,0.0001
10111,0.0001
10152,0.0001
10202,0.0001
10252,0.0001
10293,0.0001
10343,0.0001
10393,0.0001
10434,0.0001
10484,0.0001
10534,0.0001
10575,0.0001
10625,0.0001
10675,0.0001
10716,0.0001
10766,0.0001
10816,0.0001
10857,0.0001
10907,0.0001
10957,0.0001
10998,0.0001
11048,0.0001
11098,0.0001
11139,0.0001
11189,0.0001
11239,0.0001
11280,0.0001
11330,0.0001
11380,0.0001
11421,0.0001
11471,0.0001
11521,0.0001
11562,0.0001
11612,0.0001
11662,0.0001
11703,0.0001
11753,0.0001
11803,0.0001
11844,0.0001
11894,0.0001
11944,0.0001
11985,0.0001
12035,0.0001
12085,0.0001
12126,0.0001
12176,0.0001
12226,0.0001
12267,0.0001
12317,0.0001
12367,0.0001
12408,0.0001
12458,0.0001
12508,0.0001
12549,0.0001
12599,0.0001
12649,0.0001
12690,0.0001
12740,0.0001
12790,0.0001
12831,0.0001
12881,0.0001
12931,0.0001
12972,0.0001
13022,0.0001
13072,0.0001
13113,0.0001
13163,0.0001
13213,0.0001
13254,0.0001
13304,0.0001
13354,0.0001
13395,0.0001
13445,0.0001
13495,0.0001
13536,0.0001
13586,0.0001
13636,0.0001
13677,0.0001
13727,0.0001
13777,0.0001
13818,0.0001
13868,0.0001
13918,0.0001
13959,0.0001
14009,0.0001
14059,0.0001
14100,0.0001
14150,0.0001
14200,0.0001
14241,0.0001
14291,0.0001
14341,0.0001
14382,0.0001
14432,0.0001
14482,0.0001
14523,0.0001
14573,0.0001
14623,0.0001
14664,0.0001
14714,0.0001
14764,0.0001
14805,0.0001
14855,0.0001
14905,0.0001
14946,0.0001
14996,0.0001
15046,0.0001
15087,0.0001
15137,0.0001
15187,0.0001
15228,0.0001
15278,0.0001
15328,0.0001
15369,0.0001
15419,0.0001
15469,0.0001
15510,0.0001
15560,0.0001
15610,0.0001
15651,0.0001
15701,0.0001
15751,0.0001
15792,0.0001
15842,0.0001
15892,0.0001
15933,0.0001
15983,0.0001
16033,0.0001
16074,0.0001
16124,0.0001
16174,0.0001
16215,0.0001
16265,0.0001
16315,0.0001
16356,0.0001
16406,0.0001
16456,0.0001
16497,0.0001
16547,0.0001
16597,0.0001
16638,0.0001
16688,0.0001
16738,0.0001
16779,0.0001
16829,0.0001
16879,0.0001
16920,0.0001
16970,0.0001
17020,0.0001
17061,0.0001
17111,0.0001
17161,0.0001
17202,0.0001
17252,0.0001
17302,0.0001
17343,0.0001
17393,0.0001
17443,0.0001
17484,0.0001
17534,0.0001
17584,0.0001
17625,0.0001
17675,0.0001
17725,0.0001
17766,0.0001
17816,0.0001
17866,0.0001
17907,0.0001
17957,0.0001
18007,0.0001
18048,0.0001
18098,0.0001
18148,0.0001
18189,0.0001
18239,0.0001
18289,0.0001
18330,0.0001
18380,0.0001
18430,0.0001
18471,0.0001
18521,0.0001
18571,0.0001
18612,0.0001
18662,0.0001
18712,0.0001
18753,0.0001
18803,0.0001
18853,0.0001
18894,0.0001
18944,0.0001
18994,0.0001
19035,0.0001
19085,0.0001
19135,0.0001
19176,0.0001
19226,0.0001
19276,0.0001
19317,0.0001
19367,0.0001
19417,0.0001
19458,0.0001
19508,0.0001
19558,0.0001
19599,0.0001
19649,0.0001
19699,0.0001
19740,0.0001
19790,0.0001
19840,0.0001
19881,0.0001
19931,0.0001
19981,0.0001
20022,0.0001
20072,0.0001
20122,0.0001
20163,0.0001
20213,0.0001
20263,0.0001
20304,0.0001
20354,0.0001
20404,0.0001
20445,0.0001
20495,0.0001
20545,0.0001
20586,0.0001
20636,0.0001
20686,0.0001
20727,0.0001
20777,0.0001
20827,0.0001
20868,0.0001
20918,0.0001
20968,0.0001
21009,0.0001
21059,0.0001
21109,0.0001
21150,0.0001
21200,0.0001
21250,0.0001
21291,0.0001
21341,0.0001
21391,0.0001
21432,0.0001
21482,0.0001
21532,0.0001
21573,0.0001
21623,0.0001
21673,0.0001
21714,0.0001
21764,0.0001
21814,0.0001
21855,0.0001
21905,0.0001
21955,0.0001
21996,0.0001
22046,0.0001
22096,0.0001
22137,0.0001
22187,0.0001
22237,0.0001
22278,0.0001
22328,0.0001
22378,0.0001
22419,0.0001
22469,0.0001
22519,0.0001
22560,0.0001
22610,0.0001
22660,0.0001
22701,0.0001
22751,0.0001
22801,0.0001
22842,0.0001
22892,0.0001
22942,0.0001
22983,0.0001
23033,0.0001
23083,0.0001
23124,0.0001
23174,0.0001
23224,0.0001
23265,0.0001
23315,0.0001
23365,0.0001
23406,0.0001
23456,0.0001
23506,0.0001
23547,0.0001
23597,0.0001
23647,0.0001
23688,0.0001
23738,0.0001
23788,0.0001
23829,0.0001
23879,0.0001
23929,0.0001
23970,0.0001
24020,0.0001
24070,0.0001
24111,0.0001
24161,0.0001
24211,0.0001
24252,0.0001
24302,0.0001
24352,0.0001
24393,0.0001
24443,0.0001
24493,0.0001
24534,0.0001
24584,0.0001
24634,0.0001
24675,0.0001
24725,0.0001
24775,0.0001
24816,0.0001
24866,0.0001
24916,0.0001
24957,0.0001
25007,0.0001
25057,0.0001
25098,0.0001
25148,0.0001
25198,0.0001
25239,0.0001
25289,0.0001
25339,0.0001
25380,0.0001
25430,0.0001
25480,0.0001
25521,0.0001
25571,0.0001
25621,0.0001
25662,0.0001
25712,0.0001
25762,0.0001
25803,0.0001
25853,0.0001
25903,0.0001
25944,0.0001
25994,0.0001
26044,0.0001
26085,0.0001
26135,0.0001
26185,0.0001
26226,0.0001
26276,0.0001
26326,0.0001
26367,0.0001
26417,0.0001
26467,0.0001
26508,0.0001
26558,0.0001
26608,0.0001
26649,0.0001
26699,0.0001
26749,0.0001
26790,0.0001
26840,0.0001
26890,0.0001
26931,0.0001
26981,0.0001
27031,0.0001
27072,0.0001
27122,0.0001
27172,0.0001
27213,0.0001
27263,0.0001
27313,0.0001
27354,0.0001
27404,0.0001
27454,0.0001
27495,0.0001
27545,0.0001
27595,0.0001
27636,0.0001
27686,0.0001
27736,0.0001
27777,0.0001
27827,0.0001
27877,0.0001
27918,0.0001
27968,0.0001
28018,0.0001
28059,0.0001
28109,0.0001
28159,0.0001
28200,0.0001
28250,0.0001
28300,0.0001
28341,0.0001
28391,0.0001
28441,0.0001
28482,0.0001
28532,0.0001
28582,0.0001
28623,0.0001
28673,0.0001
28723,0.0001
28764,0.0001
28814,0.0001
28864,0.0001
28905,0.0001
28955,0.0001
29005,0.0001
29046,0.0001
29096,0.0001
29146,0.0001
29187,0.0001
29237,0.0001
29287,0.0001
29328,0.0001
29378,0.0001
29428,0.0001
29469,0.0001
29519,0.0001
29569,0.0001
